//CoDeSys Mapping Export V1.2
//Mapped variable;//Parameter name @ counter in device;//Unit;//Description;//IEC address;//Device name;
//Important: change only first, third or fourth column in Excel or add variable name before first ;
;Коэффициент заполнения ШИМ (запись)@14;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW159;A7_1
;Коэффициент заполнения ШИМ (запись)@15;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW160;A7_1
;Прочитать параметры;;По переднему фронту прочитать текущие настройки всех генераторов;%QX322.0;A7_1
;Записать параметры;;По переднему фронту;%QX322.1;A7_1
;Записать параметры@1;;По переднему фронту;%QX322.2;A7_1
;Записать параметры@2;;По переднему фронту;%QX322.3;A7_1
;Частота генератора (чтение);Гц;;%IW213;A7_1
;Частота генератора (чтение)@1;Гц;;%IW214;A7_1
;Частота генератора (чтение)@2;Гц;;%IW215;A7_1
;Частота генератора (запись);Гц;;%QW162;A7_1
;Частота генератора (запись)@1;Гц;;%QW163;A7_1
;Частота генератора (запись)@2;Гц;;%QW164;A7_1
;Количество импульсов генератора (чтение);;;%IW216;A7_1
;Количество импульсов генератора (чтение)@1;;;%IW217;A7_1
;Количество импульсов генератора (чтение)@2;;;%IW218;A7_1
;Количество импульсов генератора (запись);;;%QW165;A7_1
;Количество импульсов генератора (запись)@1;;;%QW166;A7_1
;Количество импульсов генератора (запись)@2;;;%QW167;A7_1
;Осталось сгенерировать импульсов;;;%IW219;A7_1
;Осталось сгенерировать импульсов@1;;;%IW220;A7_1
;Осталось сгенерировать импульсов@2;;;%IW221;A7_1
